altitude_bin,aircraft_make_model,wildlife_number_struck_actual,effect_impact_to_flight,effect_indicated_damage,aircraft_number_of_engines,when_phase_of_flight,conditions_precipitation,remains_of_wildlife_collected,wildlife_size,conditions_sky,pilot_warned_of_birds_or_wildlife,feet_above_ground,is_aircraft_large
0,0,3,0,1,1.0,0,0,0,0,0,1,1000,0
0,0,10,1,0,1.0,1,0,0,1,1,0,20,0
0,0,4,1,0,1.0,1,0,0,1,1,0,100,0
0,0,5,1,1,1.0,0,0,0,1,1,0,150,0
0,1,6,1,1,1.0,1,0,0,1,0,0,100,0
0,2,10,1,1,1.0,2,0,0,1,1,0,0,0
0,3,7,0,0,1.0,3,0,0,1,1,0,3,0
0,4,2,0,0,1.0,0,0,0,2,1,0,1000,0
0,1,8,1,1,1.0,0,0,0,2,0,1,1000,0
0,0,7,1,1,1.0,1,0,0,1,0,1,50,0
0,5,8,1,1,1.0,1,0,1,0,1,1,700,0
0,4,4,1,0,1.0,1,0,0,1,0,0,50,0
0,0,8,1,1,1.0,4,0,0,1,0,0,0,0
0,6,8,1,1,1.0,2,0,0,1,2,0,0,0
0,1,2,2,1,1.0,4,0,0,0,0,1,0,0
0,0,6,1,0,1.0,1,0,0,1,0,0,50,0
0,1,5,1,1,1.0,1,0,0,1,1,1,75,0
0,7,7,1,1,1.0,1,0,0,1,1,1,10,0
0,0,3,1,1,1.0,2,0,0,1,0,1,0,0
0,8,3,1,1,1.0,2,0,0,1,0,0,0,0
0,9,3,1,0,1.0,2,0,0,1,0,0,0,0
0,5,5,1,1,1.0,1,0,0,2,1,0,100,0
0,0,5,1,0,1.0,2,0,0,1,2,0,0,0
0,7,3,1,1,1.0,0,0,0,1,0,0,50,0
0,0,4,1,1,1.0,1,0,0,1,1,1,50,0
0,1,6,1,1,1.0,1,0,0,1,0,1,150,0
0,10,3,1,0,1.0,1,0,0,1,0,0,40,0
0,1,7,1,1,1.0,2,0,0,1,1,0,0,0
0,11,10,0,0,1.0,0,0,0,1,0,0,5,0
0,6,3,1,0,1.0,2,0,1,1,0,1,0,0
0,4,4,0,1,1.0,0,0,1,1,0,1,100,0
0,12,8,1,0,1.0,0,0,1,1,0,1,10,0
0,13,5,1,1,1.0,0,1,0,2,2,0,15,0
0,1,3,1,1,1.0,2,0,0,0,1,1,0,0
0,0,6,0,0,1.0,0,1,0,1,2,0,5,0
1,14,10,1,0,1.0,1,0,0,0,1,0,1200,0
0,0,7,1,0,1.0,0,0,0,1,0,0,10,0
0,9,6,0,1,1.0,1,0,0,0,2,0,6,0
1,0,9,1,0,1.0,1,0,0,1,1,0,2300,0
0,6,6,1,1,1.0,1,1,0,1,2,0,20,0
0,1,6,1,1,1.0,0,0,0,1,1,0,100,0
1,4,5,0,1,1.0,0,0,0,2,1,0,2100,0
0,15,5,1,0,1.0,1,1,0,1,0,1,400,0
0,1,3,0,1,1.0,1,0,0,0,0,0,1000,0
0,16,6,1,0,1.0,4,0,0,1,0,0,0,0
0,8,2,1,0,1.0,0,0,0,1,0,1,20,0
0,1,3,1,1,1.0,1,0,0,1,1,1,100,0
0,0,3,1,0,1.0,2,0,1,1,0,0,0,0
0,0,9,1,1,1.0,1,0,0,1,1,1,200,0
0,0,3,1,0,1.0,0,0,0,1,1,0,5,0
0,13,3,1,0,1.0,0,0,0,1,0,0,100,0
0,1,5,2,0,1.0,4,0,1,1,1,1,0,0
0,1,7,1,0,1.0,1,0,0,1,0,0,5,0
0,9,4,1,0,1.0,0,0,0,1,2,1,10,0
0,1,4,0,1,1.0,0,0,0,1,1,0,75,0
0,1,6,0,1,1.0,1,0,0,0,1,0,75,0
0,0,6,3,0,1.0,2,0,1,1,0,0,0,0
0,6,8,1,0,1.0,1,0,0,1,1,0,200,0
0,13,4,1,0,1.0,2,0,0,2,1,1,0,0
0,0,9,0,0,1.0,0,0,0,1,1,1,100,0
1,1,5,0,1,1.0,1,0,0,2,1,0,2000,0
0,15,10,1,1,1.0,1,0,0,1,0,0,20,0
